Feature ID,Feature Name,Description,Feature Area,User Story ID,User Story,Acceptance Criteria,Expected Behavior,Entry Points,Dependencies,Edge Cases,User Roles / Permissions,Error / Empty / Loading States,Current Status,Initial Test Evidence,Issue ID,Severity,Reproduction Steps,Expected Result,Actual Result,Root Cause,Screenshots / Evidence,Fix Status,Fix Summary,UX Improvement,Regression Evidence,Retest Result,Notes,Source Files,story_id,feature_area,feature,user_story,expected_behavior,source_files,status,initial_test_evidence,defects_found,fix_summary,retest_evidence,notes
LEGACY-003,Simple probability generator,"Legacy generator registry: Simple probability generator. generateWorksheetById('simple-probability') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Legacy generator registry,LEGACY-003,"As a developer, I can generate the legacy simple probability worksheet by registry id.","1. Given Legacy generator registry API in src/generators/index.mjs, when the story is exercised, then generateWorksheetById('simple-probability') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries. 2. The recorded initial and regression evidence for LEGACY-003 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","generateWorksheetById('simple-probability') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Legacy generator registry API in src/generators/index.mjs,src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,"Unknown id error, registry order, seed propagation, manifest parity with answer key.",Developer / maintainer; no runtime auth or permission gates in scope.,"Unknown id error, registry order, seed propagation, manifest parity with answer key.",Passing,passed: npm run test verified legacy generator registry canonical worksheets,,,,"generateWorksheetById('simple-probability') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Matches expected behavior in the recorded test evidence.,,passed: npm run test verified legacy generator registry canonical worksheets; passed: npm run test verified legacy generator registry canonical worksheets,No issue found,,,passed: npm run test verified legacy generator registry canonical worksheets,Passed,catalog_id=simple-probability,src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,LEGACY-003,Legacy generator registry,Simple probability generator,"As a developer, I can generate the legacy simple probability worksheet by registry id.","generateWorksheetById('simple-probability') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,passed,passed: npm run test verified legacy generator registry canonical worksheets,,,passed: npm run test verified legacy generator registry canonical worksheets,catalog_id=simple-probability
LEGACY-004,Two-step linear equation generator,"Legacy generator registry: Two-step linear equation generator. generateWorksheetById('linear-equation-two-step') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Legacy generator registry,LEGACY-004,"As a developer, I can generate the legacy two-step linear equation worksheet by registry id.","1. Given Legacy generator registry API in src/generators/index.mjs, when the story is exercised, then generateWorksheetById('linear-equation-two-step') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries. 2. The recorded initial and regression evidence for LEGACY-004 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","generateWorksheetById('linear-equation-two-step') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Legacy generator registry API in src/generators/index.mjs,src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,"Unknown id error, registry order, seed propagation, manifest parity with answer key.",Developer / maintainer; no runtime auth or permission gates in scope.,"Unknown id error, registry order, seed propagation, manifest parity with answer key.",Passing,passed: npm run test verified legacy generator registry canonical worksheets,,,,"generateWorksheetById('linear-equation-two-step') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Matches expected behavior in the recorded test evidence.,,passed: npm run test verified legacy generator registry canonical worksheets; passed: npm run test verified legacy generator registry canonical worksheets,No issue found,,,passed: npm run test verified legacy generator registry canonical worksheets,Passed,catalog_id=linear-equation-two-step,src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,LEGACY-004,Legacy generator registry,Two-step linear equation generator,"As a developer, I can generate the legacy two-step linear equation worksheet by registry id.","generateWorksheetById('linear-equation-two-step') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,passed,passed: npm run test verified legacy generator registry canonical worksheets,,,passed: npm run test verified legacy generator registry canonical worksheets,catalog_id=linear-equation-two-step
LEGACY-005,Rectangle area and perimeter generator,"Legacy generator registry: Rectangle area and perimeter generator. generateWorksheetById('rectangle-area-perimeter') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Legacy generator registry,LEGACY-005,"As a developer, I can generate the legacy rectangle area/perimeter worksheet by registry id.","1. Given Legacy generator registry API in src/generators/index.mjs, when the story is exercised, then generateWorksheetById('rectangle-area-perimeter') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries. 2. The recorded initial and regression evidence for LEGACY-005 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","generateWorksheetById('rectangle-area-perimeter') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Legacy generator registry API in src/generators/index.mjs,src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,"Unknown id error, registry order, seed propagation, manifest parity with answer key.",Developer / maintainer; no runtime auth or permission gates in scope.,"Unknown id error, registry order, seed propagation, manifest parity with answer key.",Passing,passed: npm run test verified legacy generator registry canonical worksheets,,,,"generateWorksheetById('rectangle-area-perimeter') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",Matches expected behavior in the recorded test evidence.,,passed: npm run test verified legacy generator registry canonical worksheets; passed: npm run test verified legacy generator registry canonical worksheets,No issue found,,,passed: npm run test verified legacy generator registry canonical worksheets,Passed,catalog_id=rectangle-area-perimeter,src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,LEGACY-005,Legacy generator registry,Rectangle area and perimeter generator,"As a developer, I can generate the legacy rectangle area/perimeter worksheet by registry id.","generateWorksheetById('rectangle-area-perimeter') returns canonical Worksheet JSON with matching generator lineage, questions, answer key, and manifest entries.",src/generators/index.mjs; src/generators/canonical-worksheet.mjs; tests/frontend/worksheet-console.test.ts,passed,passed: npm run test verified legacy generator registry canonical worksheets,,,passed: npm run test verified legacy generator registry canonical worksheets,catalog_id=rectangle-area-perimeter
LEGACY-006,Unknown legacy generator id,Legacy generator registry: Unknown legacy generator id. generateWorksheetById throws an Unknown generator id error when the id is not present in generatorRegistry.,Legacy generator registry,LEGACY-006,"As a developer, I get a clear error when requesting an unknown legacy generator id.","1. Given Legacy generator registry API in src/generators/index.mjs, when the story is exercised, then generateWorksheetById throws an Unknown generator id error when the id is not present in generatorRegistry. 2. The recorded initial and regression evidence for LEGACY-006 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.",generateWorksheetById throws an Unknown generator id error when the id is not present in generatorRegistry.,Legacy generator registry API in src/generators/index.mjs,src/generators/index.mjs; tests/frontend/worksheet-console.test.ts,"Unknown id error, registry order, seed propagation, manifest parity with answer key.",Developer / maintainer; no runtime auth or permission gates in scope.,"Unknown id error, registry order, seed propagation, manifest parity with answer key.",Passing,passed: npm run test verified unknown legacy generator id error,,,,generateWorksheetById throws an Unknown generator id error when the id is not present in generatorRegistry.,Matches expected behavior in the recorded test evidence.,,passed: npm run test verified unknown legacy generator id error; passed: npm run test verified unknown legacy generator id error,No issue found,,,passed: npm run test verified unknown legacy generator id error,Passed,No additional notes.,src/generators/index.mjs; tests/frontend/worksheet-console.test.ts,LEGACY-006,Legacy generator registry,Unknown legacy generator id,"As a developer, I get a clear error when requesting an unknown legacy generator id.",generateWorksheetById throws an Unknown generator id error when the id is not present in generatorRegistry.,src/generators/index.mjs; tests/frontend/worksheet-console.test.ts,passed,passed: npm run test verified unknown legacy generator id error,,,passed: npm run test verified unknown legacy generator id error,No additional notes.
GEN-001,Number Recognition and Tracing,"Worksheet generators: Number Recognition and Tracing. Selecting Number Recognition and Tracing produces canonical worksheet JSON with 3-12 questions, title Number Recognition and Tracing, supported grades 0/K, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers.",Worksheet generators,GEN-001,"As a teacher, I can select the Number Recognition and Tracing generator for Number Sense practice.","1. Given Worksheet generator catalog entry selectable from setup panel, when the story is exercised, then Selecting Number Recognition and Tracing produces canonical worksheet JSON with 3-12 questions, title Number Recognition and Tracing, supported grades 0/K, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers. 2. The recorded initial and regression evidence for GEN-001 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Selecting Number Recognition and Tracing produces canonical worksheet JSON with 3-12 questions, title Number Recognition and Tracing, supported grades 0/K, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers.",Worksheet generator catalog entry selectable from setup panel,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Teacher via catalog selection and developer via generator verification; no auth or permission gates in scope.,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Passing,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,,"Selecting Number Recognition and Tracing produces canonical worksheet JSON with 3-12 questions, title Number Recognition and Tracing, supported grades 0/K, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers.",Matches expected behavior in the recorded test evidence.,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].; npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",No issue found,,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",Passed,catalog_id=number-recognition-and-tracing; strand=Number Sense; grades=0|K; formats=visual-model|quick-check; generatorKind=numberSense,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,GEN-001,Worksheet generators,Number Recognition and Tracing,"As a teacher, I can select the Number Recognition and Tracing generator for Number Sense practice.","Selecting Number Recognition and Tracing produces canonical worksheet JSON with 3-12 questions, title Number Recognition and Tracing, supported grades 0/K, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers.",src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,passed,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",catalog_id=number-recognition-and-tracing; strand=Number Sense; grades=0|K; formats=visual-model|quick-check; generatorKind=numberSense
GEN-002,Counting Sets and One-to-One Matching,"Worksheet generators: Counting Sets and One-to-One Matching. Selecting Counting Sets and One-to-One Matching produces canonical worksheet JSON with 3-12 questions, title Counting Sets and One-to-One Matching, supported grades 0/K/1, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers.",Worksheet generators,GEN-002,"As a teacher, I can select the Counting Sets and One-to-One Matching generator for Number Sense practice.","1. Given Worksheet generator catalog entry selectable from setup panel, when the story is exercised, then Selecting Counting Sets and One-to-One Matching produces canonical worksheet JSON with 3-12 questions, title Counting Sets and One-to-One Matching, supported grades 0/K/1, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers. 2. The recorded initial and regression evidence for GEN-002 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Selecting Counting Sets and One-to-One Matching produces canonical worksheet JSON with 3-12 questions, title Counting Sets and One-to-One Matching, supported grades 0/K/1, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers.",Worksheet generator catalog entry selectable from setup panel,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Teacher via catalog selection and developer via generator verification; no auth or permission gates in scope.,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Passing,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,,"Selecting Counting Sets and One-to-One Matching produces canonical worksheet JSON with 3-12 questions, title Counting Sets and One-to-One Matching, supported grades 0/K/1, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers.",Matches expected behavior in the recorded test evidence.,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].; npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",No issue found,,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",Passed,catalog_id=counting-sets-and-one-to-one-matching; strand=Number Sense; grades=0|K|1; formats=visual-model|quick-check; generatorKind=numberSense,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,GEN-002,Worksheet generators,Counting Sets and One-to-One Matching,"As a teacher, I can select the Counting Sets and One-to-One Matching generator for Number Sense practice.","Selecting Counting Sets and One-to-One Matching produces canonical worksheet JSON with 3-12 questions, title Counting Sets and One-to-One Matching, supported grades 0/K/1, supported formats visual-model/quick-check, generator kind numberSense, matching answer key entries, passing audit results, and checkable answers.",src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,passed,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",catalog_id=counting-sets-and-one-to-one-matching; strand=Number Sense; grades=0|K|1; formats=visual-model|quick-check; generatorKind=numberSense
GEN-003,Number Charts and Hundreds Charts,"Worksheet generators: Number Charts and Hundreds Charts. Selecting Number Charts and Hundreds Charts produces canonical worksheet JSON with 3-12 questions, title Number Charts and Hundreds Charts, supported grades K/1/2/3, supported formats visual-model/fluency-grid, generator kind numberPattern, matching answer key entries, passing audit results, and checkable answers.",Worksheet generators,GEN-003,"As a teacher, I can select the Number Charts and Hundreds Charts generator for Number Sense practice.","1. Given Worksheet generator catalog entry selectable from setup panel, when the story is exercised, then Selecting Number Charts and Hundreds Charts produces canonical worksheet JSON with 3-12 questions, title Number Charts and Hundreds Charts, supported grades K/1/2/3, supported formats visual-model/fluency-grid, generator kind numberPattern, matching answer key entries, passing audit results, and checkable answers. 2. The recorded initial and regression evidence for GEN-003 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Selecting Number Charts and Hundreds Charts produces canonical worksheet JSON with 3-12 questions, title Number Charts and Hundreds Charts, supported grades K/1/2/3, supported formats visual-model/fluency-grid, generator kind numberPattern, matching answer key entries, passing audit results, and checkable answers.",Worksheet generator catalog entry selectable from setup panel,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Teacher via catalog selection and developer via generator verification; no auth or permission gates in scope.,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Passing,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,,"Selecting Number Charts and Hundreds Charts produces canonical worksheet JSON with 3-12 questions, title Number Charts and Hundreds Charts, supported grades K/1/2/3, supported formats visual-model/fluency-grid, generator kind numberPattern, matching answer key entries, passing audit results, and checkable answers.",Matches expected behavior in the recorded test evidence.,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].; npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",No issue found,,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",Passed,catalog_id=number-charts-and-hundreds-charts; strand=Number Sense; grades=K|1|2|3; formats=visual-model|fluency-grid; generatorKind=numberPattern,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,GEN-003,Worksheet generators,Number Charts and Hundreds Charts,"As a teacher, I can select the Number Charts and Hundreds Charts generator for Number Sense practice.","Selecting Number Charts and Hundreds Charts produces canonical worksheet JSON with 3-12 questions, title Number Charts and Hundreds Charts, supported grades K/1/2/3, supported formats visual-model/fluency-grid, generator kind numberPattern, matching answer key entries, passing audit results, and checkable answers.",src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,passed,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",catalog_id=number-charts-and-hundreds-charts; strand=Number Sense; grades=K|1|2|3; formats=visual-model|fluency-grid; generatorKind=numberPattern
GEN-004,Comparing and Ordering Numbers,"Worksheet generators: Comparing and Ordering Numbers. Selecting Comparing and Ordering Numbers produces canonical worksheet JSON with 3-12 questions, title Comparing and Ordering Numbers, supported grades K/1/2/3/4/5/6, supported formats fluency-grid/quick-check, generator kind compare, matching answer key entries, passing audit results, and checkable answers.",Worksheet generators,GEN-004,"As a teacher, I can select the Comparing and Ordering Numbers generator for Number Sense practice.","1. Given Worksheet generator catalog entry selectable from setup panel, when the story is exercised, then Selecting Comparing and Ordering Numbers produces canonical worksheet JSON with 3-12 questions, title Comparing and Ordering Numbers, supported grades K/1/2/3/4/5/6, supported formats fluency-grid/quick-check, generator kind compare, matching answer key entries, passing audit results, and checkable answers. 2. The recorded initial and regression evidence for GEN-004 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Selecting Comparing and Ordering Numbers produces canonical worksheet JSON with 3-12 questions, title Comparing and Ordering Numbers, supported grades K/1/2/3/4/5/6, supported formats fluency-grid/quick-check, generator kind compare, matching answer key entries, passing audit results, and checkable answers.",Worksheet generator catalog entry selectable from setup panel,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Teacher via catalog selection and developer via generator verification; no auth or permission gates in scope.,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Passing,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,,"Selecting Comparing and Ordering Numbers produces canonical worksheet JSON with 3-12 questions, title Comparing and Ordering Numbers, supported grades K/1/2/3/4/5/6, supported formats fluency-grid/quick-check, generator kind compare, matching answer key entries, passing audit results, and checkable answers.",Matches expected behavior in the recorded test evidence.,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].; npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",No issue found,,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",Passed,catalog_id=comparing-and-ordering-numbers; strand=Number Sense; grades=K|1|2|3|4|5|6; formats=fluency-grid|quick-check; generatorKind=compare,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,GEN-004,Worksheet generators,Comparing and Ordering Numbers,"As a teacher, I can select the Comparing and Ordering Numbers generator for Number Sense practice.","Selecting Comparing and Ordering Numbers produces canonical worksheet JSON with 3-12 questions, title Comparing and Ordering Numbers, supported grades K/1/2/3/4/5/6, supported formats fluency-grid/quick-check, generator kind compare, matching answer key entries, passing audit results, and checkable answers.",src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,passed,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",catalog_id=comparing-and-ordering-numbers; strand=Number Sense; grades=K|1|2|3|4|5|6; formats=fluency-grid|quick-check; generatorKind=compare
GEN-005,Place Value and Base-Ten Blocks,"Worksheet generators: Place Value and Base-Ten Blocks. Selecting Place Value and Base-Ten Blocks produces canonical worksheet JSON with 3-12 questions, title Place Value and Base-Ten Blocks, supported grades K/1/2/3/4/5/6, supported formats visual-model/worked-practice, generator kind placeValue, matching answer key entries, passing audit results, and checkable answers.",Worksheet generators,GEN-005,"As a teacher, I can select the Place Value and Base-Ten Blocks generator for Number Sense practice.","1. Given Worksheet generator catalog entry selectable from setup panel, when the story is exercised, then Selecting Place Value and Base-Ten Blocks produces canonical worksheet JSON with 3-12 questions, title Place Value and Base-Ten Blocks, supported grades K/1/2/3/4/5/6, supported formats visual-model/worked-practice, generator kind placeValue, matching answer key entries, passing audit results, and checkable answers. 2. The recorded initial and regression evidence for GEN-005 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Selecting Place Value and Base-Ten Blocks produces canonical worksheet JSON with 3-12 questions, title Place Value and Base-Ten Blocks, supported grades K/1/2/3/4/5/6, supported formats visual-model/worked-practice, generator kind placeValue, matching answer key entries, passing audit results, and checkable answers.",Worksheet generator catalog entry selectable from setup panel,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Teacher via catalog selection and developer via generator verification; no auth or permission gates in scope.,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Passing,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,,"Selecting Place Value and Base-Ten Blocks produces canonical worksheet JSON with 3-12 questions, title Place Value and Base-Ten Blocks, supported grades K/1/2/3/4/5/6, supported formats visual-model/worked-practice, generator kind placeValue, matching answer key entries, passing audit results, and checkable answers.",Matches expected behavior in the recorded test evidence.,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].; npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",No issue found,,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",Passed,catalog_id=place-value-and-base-ten-blocks; strand=Number Sense; grades=K|1|2|3|4|5|6; formats=visual-model|worked-practice; generatorKind=placeValue,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,GEN-005,Worksheet generators,Place Value and Base-Ten Blocks,"As a teacher, I can select the Place Value and Base-Ten Blocks generator for Number Sense practice.","Selecting Place Value and Base-Ten Blocks produces canonical worksheet JSON with 3-12 questions, title Place Value and Base-Ten Blocks, supported grades K/1/2/3/4/5/6, supported formats visual-model/worked-practice, generator kind placeValue, matching answer key entries, passing audit results, and checkable answers.",src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,passed,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",catalog_id=place-value-and-base-ten-blocks; strand=Number Sense; grades=K|1|2|3|4|5|6; formats=visual-model|worked-practice; generatorKind=placeValue
GEN-006,Rounding and Estimation,"Worksheet generators: Rounding and Estimation. Selecting Rounding and Estimation produces canonical worksheet JSON with 3-12 questions, title Rounding and Estimation, supported grades 2/3/4/5/6/7, supported formats fluency-grid/worked-practice, generator kind rounding, matching answer key entries, passing audit results, and checkable answers.",Worksheet generators,GEN-006,"As a teacher, I can select the Rounding and Estimation generator for Number Sense practice.","1. Given Worksheet generator catalog entry selectable from setup panel, when the story is exercised, then Selecting Rounding and Estimation produces canonical worksheet JSON with 3-12 questions, title Rounding and Estimation, supported grades 2/3/4/5/6/7, supported formats fluency-grid/worked-practice, generator kind rounding, matching answer key entries, passing audit results, and checkable answers. 2. The recorded initial and regression evidence for GEN-006 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Selecting Rounding and Estimation produces canonical worksheet JSON with 3-12 questions, title Rounding and Estimation, supported grades 2/3/4/5/6/7, supported formats fluency-grid/worked-practice, generator kind rounding, matching answer key entries, passing audit results, and checkable answers.",Worksheet generator catalog entry selectable from setup panel,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Teacher via catalog selection and developer via generator verification; no auth or permission gates in scope.,"Supported grade/format/strand filters, answer-key correctness, deterministic item generation, validation rules and solution metadata.",Passing,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,,"Selecting Rounding and Estimation produces canonical worksheet JSON with 3-12 questions, title Rounding and Estimation, supported grades 2/3/4/5/6/7, supported formats fluency-grid/worked-practice, generator kind rounding, matching answer key entries, passing audit results, and checkable answers.",Matches expected behavior in the recorded test evidence.,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].; npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",No issue found,,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",Passed,catalog_id=rounding-and-estimation; strand=Number Sense; grades=2|3|4|5|6|7; formats=fluency-grid|worked-practice; generatorKind=rounding,src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,GEN-006,Worksheet generators,Rounding and Estimation,"As a teacher, I can select the Rounding and Estimation generator for Number Sense practice.","Selecting Rounding and Estimation produces canonical worksheet JSON with 3-12 questions, title Rounding and Estimation, supported grades 2/3/4/5/6/7, supported formats fluency-grid/worked-practice, generator kind rounding, matching answer key entries, passing audit results, and checkable answers.",src/features/worksheet/catalog.ts; src/features/worksheet/generator.ts; src/features/worksheet/item-factory.ts,passed,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",,,"npm run test:generators passed: 139 worksheet types, 834 generated items, failed [].",catalog_id=rounding-and-estimation; strand=Number Sense; grades=2|3|4|5|6|7; formats=fluency-grid|worked-practice; generatorKind=rounding
